fecha,provincia
2018-01-01,A CORUÑA
2018-01-06,A CORUÑA
2018-03-30,A CORUÑA
2018-05-01,A CORUÑA
2018-08-15,A CORUÑA
2018-10-12,A CORUÑA
2018-11-01,A CORUÑA
2018-12-06,A CORUÑA
2018-12-08,A CORUÑA
2018-12-25,A CORUÑA
2018-03-29,A CORUÑA
2018-05-17,A CORUÑA
2018-07-25,A CORUÑA
2018-02-13,A CORUÑA
2018-03-08,A CORUÑA
2018-01-01,ALAVA
2018-01-06,ALAVA
2018-03-30,ALAVA
2018-05-01,ALAVA
2018-08-15,ALAVA
2018-10-12,ALAVA
2018-11-01,ALAVA
2018-12-06,ALAVA
2018-12-08,ALAVA
2018-12-25,ALAVA
2018-03-29,ALAVA
2018-04-02,ALAVA
2018-04-28,ALAVA
2018-01-01,ALBACETE
2018-01-06,ALBACETE
2018-03-30,ALBACETE
2018-05-01,ALBACETE
2018-08-15,ALBACETE
2018-10-12,ALBACETE
2018-11-01,ALBACETE
2018-12-06,ALBACETE
2018-12-08,ALBACETE
2018-12-25,ALBACETE
2018-03-29,ALBACETE
2018-05-31,ALBACETE
2018-06-24,ALBACETE
2018-09-08,ALBACETE
2018-01-01,ALICANTE
2018-01-06,ALICANTE
2018-03-30,ALICANTE
2018-05-01,ALICANTE
2018-08-15,ALICANTE
2018-10-12,ALICANTE
2018-11-01,ALICANTE
2018-12-06,ALICANTE
2018-12-08,ALICANTE
2018-12-25,ALICANTE
2018-03-19,ALICANTE
2018-04-02,ALICANTE
2018-10-09,ALICANTE
2018-04-12,ALICANTE
2018-06-24,ALICANTE
2018-01-01,ALMERIA
2018-01-06,ALMERIA
2018-03-30,ALMERIA
2018-05-01,ALMERIA
2018-08-15,ALMERIA
2018-10-12,ALMERIA
2018-11-01,ALMERIA
2018-12-06,ALMERIA
2018-12-08,ALMERIA
2018-12-25,ALMERIA
2018-02-28,ALMERIA
2018-03-29,ALMERIA
2018-06-24,ALMERIA
2018-08-25,ALMERIA
2018-01-01,ASTURIAS
2018-01-06,ASTURIAS
2018-03-30,ASTURIAS
2018-05-01,ASTURIAS
2018-08-15,ASTURIAS
2018-10-12,ASTURIAS
2018-11-01,ASTURIAS
2018-12-06,ASTURIAS
2018-12-08,ASTURIAS
2018-12-25,ASTURIAS
2018-03-29,ASTURIAS
2018-09-08,ASTURIAS
2018-09-21,ASTURIAS
2018-01-01,AVILA
2018-01-06,AVILA
2018-03-30,AVILA
2018-05-01,AVILA
2018-08-15,AVILA
2018-10-12,AVILA
